Id,SalePrice
1461,116081.22653867677
1462,150972.67362986255
1463,168691.75629312606
1464,178469.14127972658
1465,203623.37403747378
1466,173746.50377995608
1467,161380.33150050693
1468,167048.54058687328
1469,192675.44352466697
1470,112915.98051542477
1471,195783.0789674101
1472,121647.52003408366
1473,118961.70733412857
1474,158187.66389808102
1475,136334.939820311
1476,388542.83933889074
1477,259713.42872472713
1478,322914.34714801045
1479,293397.6668728894
1480,531367.1876073219
1481,322680.3571070046
1482,220933.28953880648
1483,179182.2340045645
1484,179926.83140032197
1485,167895.64057674503
1486,203007.64250865317
1487,339184.5165596468
1488,263211.750861667
1489,187865.1017756256
1490,191957.88479717408
1491,197947.02779098754
1492,106170.69040033284
1493,169749.1475494486
1494,300341.8225593238
1495,296598.6531234206
1496,210839.01862077377
1497,199525.81985107265
1498,165399.35297143043
1499,165399.35297143043
1500,153703.98424154508
1501,169401.50280674067
1502,157112.92317729286
1503,261700.4534077733
1504,234441.3474473417
1505,210082.82095541415
1506,205473.7560839861
1507,245387.0067633302
1508,189162.88236026294
1509,165924.76252893245
1510,148627.89061794747
1511,147001.8706654163
1512,165873.2970910799
1513,159797.79612155058
1514,157787.47222233607
1515,199064.40634967925
1516,149868.56543279559
1517,139016.12485093635
1518,169254.73906903944
1519,209456.3879237477
1520,130238.76132637398
1521,134222.80899340438
1522,172663.71318314198
1523,115251.60830935753
1524,118785.32312290907
1525,118696.61124618308
1526,120600.39384303994
1527,96224.73254553658
1528,130054.98109780723
1529,142261.24950063307
1530,169468.75677905942
1531,112752.75309132056
1532,98766.32126317488
1533,153188.68799250436
1534,127809.43012809884
1535,143653.91644919987
1536,117838.34815248166
1537,60738.52159238492
1538,151146.9558399681
1539,171701.01772549027
1540,137393.96368062912
1541,138044.91141990692
1542,142553.83351574925
1543,179552.1347432577
1544,87931.5017673226
1545,118971.03312002984
1546,129668.74030872114
1547,129372.77254508443
1548,136987.88915877749
1549,114140.95247955322
1550,136375.01105676228
1551,122205.94077251831
1552,134806.7668751135
1553,120810.03218883181
1554,120814.28113430155
1555,156586.56696898505
1556,109822.68721790404
1557,117400.58371932566
1558,111679.08996349026
1559,108420.11514037714
1560,133143.04317310947
1561,149357.15484517303
1562,117177.84517186871
1563,116828.43501221851
1564,162791.77343695774
1565,145539.94852059445
1566,198201.35870814917
1567,92869.89422211495
1568,195805.21135870897
1569,102933.27471250297
1570,121655.85650731825
1571,117669.81367832352
1572,130252.40004216183
1573,221486.8338206561
1574,147402.97605828347
1575,201124.4583228453
1576,215870.6372791955
1577,188743.770653819
1578,124293.11882076104
1579,139730.33162390612
1580,197741.53627446
1581,129407.4637236962
1582,127446.40064695722
1583,314390.15788182005
1584,230084.99592032065
1585,145644.9709638371
1586,67694.57347839224
1587,107390.50877420843
1588,136933.60806966384
1589,111510.12826490635
1590,139360.43438241392
1591,98537.54312893447
1592,119962.63614410865
1593,122584.4525457266
1594,135361.19863053624
1595,126103.60098678865
1596,207676.1500480121
1597,178232.02064505572
1598,178922.79591032182
1599,182580.9529256752
1600,193532.54323668702
1601,52598.39903872199
1602,112777.4357049164
1603,85786.4877856456
1604,248454.97919154196
1605,258658.83304377686
1606,161630.78766390096
1607,224338.22108988778
1608,213295.61149029213
1609,187506.03518680026
1610,148643.62851371075
1611,145431.04737056585
1612,176765.8759773562
1613,167323.38547224939
1614,123126.56653138642
1615,98599.88281317933
1616,98599.88281317933
1617,106358.33333816227
1618,118155.17659351329
1619,129045.73544510316
1620,207910.71795213403
1621,144984.28691370087
1622,137559.23441538363
1623,257294.82921153415
1624,194169.7899447053
1625,121243.44916142647
1626,173411.69197973126
1627,178787.94018778767
1628,291026.40891294164
1629,177391.14453376125
1630,360824.8617743667
1631,225200.66638203652
1632,248625.9977426085
1633,165546.2265787633
1634,181031.46802438385
1635,165404.23554380826
1636,162341.41316252496
1637,181175.24741352105
1638,207511.34058514333
1639,188168.74671259918
1640,261535.7855039474
1641,180917.19632447048
1642,214887.09312923194
1643,239754.26855361668
1644,232982.7537625701
1645,178812.59583192217
1646,148944.6464730016
1647,168542.38943656947
1648,146582.36706659492
1649,128599.30723391479
1650,111948.05023764202
1651,112256.67838144947
1652,122319.18158252555
1653,121982.88852176366
1654,161663.22198794823
1655,158302.68341026938
1656,159061.07727509344
1657,162555.82522372378
1658,159499.59071884924
1659,136710.79986721242
1660,134704.54843200895
1661,444234.82184517715
1662,416135.0096094011
1663,379803.2186130049
1664,536911.9309429472
1665,331564.08724224486
1666,287046.58797078335
1667,345087.6596151564
1668,332443.253726808
1669,297538.2133692401
1670,341145.19852147927
1671,239471.53868496558
1672,460588.82808735943
1673,297648.0812007785
1674,264958.5026558506
1675,182119.84352371647
1676,177646.26089657666
1677,199492.70403532244
1678,491875.9038933099
1679,349608.3099790484
1680,331745.8794762724
1681,270099.2713937097
1682,276071.13973619335
1683,202076.10367184874
1684,183306.39590282927
1685,170279.2388159472
1686,185985.43241372748
1687,167895.64057674503
1688,197487.99840963708
1689,194592.8340034067
1690,185881.7482429672
1691,175182.24420941342
1692,260314.90203596235
1693,167895.64057674503
1694,170635.1109440552
1695,168437.06403275515
1696,271258.3567783986
1697,168437.06403275515
1698,352801.2295645339
1699,317248.93915374356
1700,227458.92592248955
1701,267480.92973201425
1702,278529.6823029058
1703,271415.50622915424
1704,278562.1606250045
1705,227184.9670904688
1706,468992.7698342293
1707,207937.3009395247
1708,204583.25350126682
1709,299628.0523874993
1710,226301.5706254128
1711,248331.15684432784
1712,277618.1231275771
1713,246733.8071629307
1714,216898.6403367386
1715,196389.8979284002
1716,191742.84177702674
1717,184301.73560726
1718,147188.97025149802
1719,207494.52095666356
1720,252272.11453891007
1721,180938.007665911
1722,135524.2780472336
1723,151553.0668453711
1724,224566.11958950217
1725,226049.22943723263
1726,178906.96507537639
1727,172592.47918169393
1728,183259.2843064907
